case_number,project_id,address,in_main_500ft_sample,current_units,current_land_sqft,recommended_units,recommended_land_sqft,recommendation,evidence,permit_numbers,source_urls,remaining_issue,assessor_row_ids,assessor_history,review_date,adopted,permit_evidence,current_construction_year,current_building_sqft,other_measurement_concern,followup_reviewed,recommended_construction_year,recommended_building_sqft,followup_evidence,proposed_sample_action
61,residential_16232040100000,1217 S HOMAN AVE,FALSE,2,5002,2,5002,Retain,Original new-building permit specifies a two-flat. Keep two over the first assessment's three and retain the individual reported lot.,100170331,,,1623204010000012009;1623204010000012010;1623204010000012011;1623204010000012012;1623204010000012013;1623204010000012014;1623204010000012015;1623204010000012016;1623204010000012017;1623204010000012018;1623204010000012019;1623204010000012020;1623204010000012021;1623204010000012022;1623204010000012023;1623204010000012024;1623204010000012025;1623204010000012026,"16232040100000 card1 class211 built2008: 3 homes / 3666 floor / 5002 land, assessment 2009; 16232040100000 card1 class211 built2008: 2 homes / 3666 floor / 5002 land, assessment 2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,100170331 | COMPLETE | 2007-04-17T00:00:00.000 | 1217 S HOMAN AVE | ERECT NEW 2-FLAT BRICK & FRAME RESIDENCE ON SLAB PER PLANS.  SELF CERT / PROTOTYPE PLANS - CONDITIONAL PERMIT - CONTINGENT UPON FIELD INSPECTIONS (BASED ON PROTOTYPE: 2920 W. FILLMORE),2008,3666,,FALSE,,,,Keep
62,residential_16232060250000,1214 S SAWYER AVE,FALSE,1,3102,2,3102,Correct count,Early completed assessments report two dwellings. A 2014 permit explicitly deconverts the two-flat to a single-family house. Use the original two for new construction and the unchanged individual lot.,100554025,,"Later one is a real conversion, not a correction to original construction.",1623206025000012007;1623206025000012008;1623206025000012009;1623206025000012010;1623206025000012011;1623206025000012012;1623206025000012013;1623206025000012014;1623206025000012015;1623206025000012016;1623206025000012017;1623206025000012018;1623206025000012019;1623206025000012020;1623206025000012021;1623206025000012022;1623206025000012023;1623206025000012024;1623206025000012025;1623206025000012026,"16232060250000 card1 class211 built2006: 2 homes / 2691 floor / 3102 land, assessment 2007,2008,2009,2010,2011,2012,2013,2014; 16232060250000 card1 class278 built2006: 1 homes / 2691 floor / 3102 land, assessment 2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,100554025 | COMPLETE | 2014-10-28T00:00:00.000 | 1214 S SAWYER AVE | DECONVERT EXISTING 2 DWELLING UNITS BUILDING TO SINGLE FAMILY RESIDENCE W/ INTERIOR RENOVATION AS PER PLANS. **CERTIFIED PLANS CORRECTIONS: CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS **,2006,2691,,FALSE,,,,Keep
63,residential_16232060420000,1224 S SAWYER AVE,FALSE,2,3125,2,3125,Retain with qualification,"The first assessment says three, but every assessment from 2008 onward says two; land and floor area are stable. Current property records repeat two. No independent original permit or seller description was found.",,https://www.redfin.com/IL/Chicago/1224-S-Sawyer-Ave-60623/home/18935465,"This remains a judgment about an isolated early Assessor discrepancy, not independent verification. Recommend retaining the existing two rather than silently calling the discrepancy resolved.",1623206042000012007;1623206042000012008;1623206042000012009;1623206042000012010;1623206042000012011;1623206042000012012;1623206042000012013;1623206042000012014;1623206042000012015;1623206042000012016;1623206042000012017;1623206042000012018;1623206042000012019;1623206042000012020;1623206042000012021;1623206042000012022;1623206042000012023;1623206042000012024;1623206042000012025;1623206042000012026,"16232060420000 card1 class211 built2006: 3 homes / 2694 floor / 3125 land, assessment 2007; 16232060420000 card1 class211 built2006: 2 homes / 2694 floor / 3125 land, assessment 2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,,2006,2694,,TRUE,2006,2694,"Retain two as the Assessor-based recommendation: only the first 2007 assessment says three; the same floor, lot and construction year recur with two in every assessment from 2008 onward. The added searches found no original-building permit or seller description that independently settles two versus three. The 2024 porch permit does not specify an apartment count.",Keep with qualification
64,residential_16232060430000,1222 S SAWYER AVE,FALSE,2,3126,2,3126,Retain with qualification,"The first assessment says three, but every assessment from 2008 onward says two. Retain 3126 as the source-reported lot. No independent original-building count was found.",,https://www.realtor.com/realestateandhomes-detail/1222-S-Sawyer-Ave_Chicago_IL_60623_M78975-75848,"This is the same qualified judgment as 1224 Sawyer, not a general rule that the most frequent count must be correct.",1623206043000012007;1623206043000012008;1623206043000012009;1623206043000012010;1623206043000012011;1623206043000012012;1623206043000012013;1623206043000012014;1623206043000012015;1623206043000012016;1623206043000012017;1623206043000012018;1623206043000012019;1623206043000012020;1623206043000012021;1623206043000012022;1623206043000012023;1623206043000012024;1623206043000012025;1623206043000012026,"16232060430000 card1 class211 built2006: 3 homes / 2694 floor / 3126 land, assessment 2007; 16232060430000 card1 class211 built2006: 2 homes / 2694 floor / 3126 land, assessment 2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,,2006,2694,,TRUE,2006,2694,Retain two as the Assessor-based recommendation. The lone initial 2007 count of three changes to two in 2008 and remains two through the preserved history with unchanged area and year. The located garage and deck permits do not establish original apartment count. Listings repeating public records add no independent confirmation.,Keep with qualification
65,residential_16243050340000,3016 W CULLERTON ST,FALSE,1,2905,1,2905,Retain,"Original permit specifies a new single-family residence, supporting the current one over an early two-unit classification. Keep its individual recorded lot.",100187551,,,1624305034000012009;1624305034000012010;1624305034000012011;1624305034000012012;1624305034000012013;1624305034000012014;1624305034000012015;1624305034000012016;1624305034000012017;1624305034000012018;1624305034000012019;1624305034000012020;1624305034000012021;1624305034000012022;1624305034000012023;1624305034000012024;1624305034000012025;1624305034000012026,"16243050340000 card1 class211 built2007: 2 homes / 1626 floor / 2905 land, assessment 2009,2010,2011,2012,2013,2014,2015,2016,2017; 16243050340000 card1 class207 built2007: 2 homes / 1626 floor / 2905 land, assessment 2018,2019,2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,100187551 | COMPLETE | 2007-07-13T00:00:00.000 | 3016 W CULLERTON ST | ERECT NEW SINGLE FAMILY RESIDENTIAL 2 STORY WITH BASEMENT TYPE IVA CONSTRUCTION AS PER PLANS.,2007,1626,,FALSE,,,,Keep
66,residential_16262000140000,2243 S CENTRAL PARK AVE,TRUE,2,3127,2,3127,Retain,"Original permit specifies two dwellings, matching the newer Assessor count. Reuse the existing 2012 completion decision and retain the reported individual lot.",100199081;100433768,,Earlier manual decision addressed year; the original permit now supplies count support.,1626200014000012012;1626200014000012013;1626200014000012014;1626200014000012015;1626200014000012016;1626200014000012017;1626200014000012018;1626200014000012019;1626200014000012020;1626200014000012021;1626200014000012022;1626200014000012023;1626200014000012024;1626200014000012025;1626200014000012026,"16262000140000 card1 class211 built2011: 3 homes / 2583 floor / 3127 land, assessment 2012,2013,2014,2015,2016,2017,2018,2019,2020; 16262000140000 card1 class211 built2012: 2 homes / 2583 floor / 3127 land, assessment 2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,"100199081 | COMPLETE | 2007-09-25T00:00:00.000 | 2243 S CENTRAL PARK AVE | ERECT A 3 STORY 2 DWELLING  UNITS MULTI FAMILY RESIDENCE NO GARAGE AS PER PLANS
100433768 |  | 2012-03-30T00:00:00.000 | 2243 S CENTRAL PARK AVE | REINSTATEMENT TO PERMIT # 100199081. ALL CONTRACTORS TO REMAIN",2012,2583,,FALSE,,,,Keep
67,residential_16364170250000,2742 W 38TH ST,FALSE,1,3150,1,3150,Hold floor area,A demolition permit followed by a new single-family permit establishes a replacement building. The old three-unit assessment is a different building even though the floor-area number repeats.,100822612;100823067,https://www.redfin.com/IL/Chicago/2742-W-38th-St-60632/unit-2/home/14126698;https://www.zillow.com/homedetails/2742-W-38th-St-2-Chicago-IL-60632/337756682_zpid/,"Recommend withholding FAR. Under the agreed common FAR-and-DUPAC sample, the observation would stay out of both regressions until the replacement floor area is supported. Preserve one dwelling and the reported lot.",1636417025000011999;1636417025000012000;1636417025000012001;1636417025000012002;1636417025000012003;1636417025000012004;1636417025000012005;1636417025000012006;1636417025000012007;1636417025000012008;1636417025000012009;1636417025000012010;1636417025000012011;1636417025000012012;1636417025000012013;1636417025000012014;1636417025000012015;1636417025000012016;1636417025000012017;1636417025000012018;1636417025000012019;1636417025000012020;1636417025000012021;1636417025000012022;1636417025000012023;1636417025000012024;1636417025000012025;1636417025000012026,"16364170250000 card1 class211 built1888: 3 homes / 2600 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 16364170250000 card1 class211 built1888: 3 homes / 2600 floor / 3150 land, assessment 2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019; 16364170250000 card1 class278 built2019: 1 homes / 2600 floor / 3150 land, assessment 2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,"100822612 |  | 2019-08-07T00:00:00.000 | 2742 W 38TH ST | WRECK AND REMOVE A 2 STORY FRAME MULTI UNIT RESIDENCE
100823067 | COMPLETE | 2019-07-19T00:00:00.000 | 2742 W 38TH ST | ERECT A NEW 2 STORY ON SLAB MASONRY SINGLE FAMILY HOME AND FRAME 2 CAR GARAGE AS PER PLANS.",2019,2600,Building area copied from earlier building,TRUE,2019,,"The 2019 demolition and new-house permits establish a different building from the old three-flat. Located Zillow information repeats 2600 square feet, while the 2019 MLS sale describes the old two-flat. Neither provides an independently identified floor measure for the replacement. An unchanged number could be correct, but these sources cannot establish that.",Withhold density
68,residential_17041220420000,1428 N CLEVELAND AVE,TRUE,1,2928,1,2928,Exclude lodging,"The new-building permit says single-family residence, but original-use evidence identifies the completed building as The Sono bed-and-breakfast. Its present Assessor floor number also repeats the demolished building. The permit alone did not establish an ordinary one-home construction observation.",100578338,https://www.thesonochicago.com/rooms;https://www.theghostguest.com/2016/10/a-chicago-staycation.html;https://www.urbanrealestate.com/property/1428-N-Cleveland-Chicago-IL-60610-6W3okaPTBWyT.html,"Recommend exclusion as original lodging use, subject to the residential-sample definition. Do not substitute the old 1600-square-foot floor or listing totals for a verified house measure.",1704122042000011999;1704122042000012000;1704122042000012001;1704122042000012002;1704122042000012003;1704122042000012004;1704122042000012005;1704122042000012006;1704122042000012007;1704122042000012008;1704122042000012009;1704122042000012010;1704122042000012011;1704122042000012012;1704122042000012013;1704122042000012014;1704122042000012015;1704122042000012018;1704122042000012019;1704122042000012020;1704122042000012021;1704122042000012022;1704122042000012023;1704122042000012024;1704122042000012025;1704122042000012026,"17041220420000 card1 class211 built1876: 2 homes / 1600 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 17041220420000 card1 class211 built1876: 3 homes / 1600 floor / 2928 land, assessment 2006,2007,2008,2009,2010,2011,2012,2013,2014,2015; 17041220420000 card1 class219 built2014: NA homes / NA floor / 2928 land, assessment 2018,2019; 17041220420000 card1 class219 built2014: NA homes / 0 floor / 2928 land, assessment 2020; 17041220420000 card1 class219 built2014: 3 homes / 1600 floor / 2928 land, assessment 2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,"100578338 | COMPLETE | 2015-04-13T00:00:00.000 | 1428 N CLEVELAND AVE | ERECT A 3 STORY ,IIIB MASONRY SINGLE FAMILY RESIDENCE WITH BASEMENT AND REAR PATIO. PER PLANS",2015,1600,Building area copied from earlier building,TRUE,,,"An October 2016 guest account describes the newly built Sono as seven guest rooms plus owners living on site. The operator today confirms guest-room lodging at 1428 N Cleveland. The property seller describes B&B operation since 2016, rather than a later apartment conversion. Recommend excluding this lodging building; seven guest rooms must not be treated as seven dwelling units. The owner residence creates a scope judgment, so this recommendation is not an automatic numeric correction.",Exclude: lodging
69,residential_17071210070000,2045 W OHIO ST,TRUE,1,2208,1,2208,Hold floor area,"Original permit and revision describe a new single-family house. Keep one and the individual recorded lot, not the old two-flat count.",100562582;100594765,https://www.redfin.com/IL/Chicago/2045-W-Ohio-St-60612/home/14105752/,"Recommend withholding FAR, hence exclusion from the common density sample, while retaining one dwelling and 2208 square feet of reported land. Do not silently replace above-grade area with an estimated total including basement rooms.",1707121007000011999;1707121007000012000;1707121007000012001;1707121007000012002;1707121007000012003;1707121007000012004;1707121007000012005;1707121007000012006;1707121007000012007;1707121007000012008;1707121007000012009;1707121007000012010;1707121007000012011;1707121007000012012;1707121007000012013;1707121007000012014;1707121007000012016;1707121007000012017;1707121007000012018;1707121007000012019;1707121007000012020;1707121007000012021;1707121007000012022;1707121007000012023;1707121007000012024;1707121007000012025;1707121007000012026,"17071210070000 card1 class211 built1907: 2 homes / 2030 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 17071210070000 card1 class211 built1907: 2 homes / 2030 floor / 2208 land, assessment 2006,2007,2008,2009,2010,2011,2012,2013,2014; 17071210070000 card1 class278 built2014: 1 homes / 2030 floor / 2208 land, assessment 2016,2017,2018,2019,2020; 17071210070000 card1 class278 built2015: 1 homes / 2030 floor / 2208 land, assessment 2021; 17071210070000 card1 class278 built2016: 1 homes / 2030 floor / 2208 land, assessment 2022,2023,2024,2025,2026",2026-09-15,TRUE,"100562582 | COMPLETE | 2015-03-04T00:00:00.000 | 2045 W OHIO ST | SELF CERTIFICATION - NEW SINGLE FAMILY RESIDENCE - 2-STORY FRAME CONSTRUCTION HOUSE WITH BASEMENT; 1 - ERECT NEW 2-STORY FRAME BUILDING WITH BASEMENT, 2 - INSTALL PLUMBING, MECHANICAL, ELECTRICAL EQUIPMENT, SERVICE AND WIRING, 3 - INSTALL ALL FINISHES PER PLAN, 4 - ERECT NEW FRAME GARAGE AS PER ARCHITECTURAL PLANS.
100594765 | COMPLETE | 2015-07-16T00:00:00.000 | 2045 W OHIO ST | SELF CERTIFICATION - REVISION TO PERMIT #100562582: TO MAKE INTERIOR ADJUSTMENTS AT THIS NEW CONSTRUCTION 2 STORY S.F.R FRAME BUILDING. CHANGES TO DIMENSIONS ON THE SETBACKS IN REAR (FROM HOUSE TO ALLEY) AND EAST ELEVATION AS PER ARCHITECTURAL PLANS.",2016,2030,Building area copied from earlier building,TRUE,2016,,The demolition and new-house permits establish replacement construction. Seller marketing reports an estimated 3400 square feet and describes finished lower-level rooms; it does not isolate the Assessor-comparable above-grade area. The selected 2030 repeats the earlier two-flat. Neither fact establishes a reliable replacement floor measure. The 2016 Assessor year is consistent with the February 2016 sale; late-2015 marketing alone does not prove occupancy in 2015.,Withhold density
70,residential_17083290180000,116 N ELIZABETH ST,FALSE,3,6588,,,Exclude renovation,"The 2012 original work and 2013 revision renovate an existing two-story mixed-use building, with four existing residential units upstairs. It is not a new building, and neither Assessor two nor three describes those four units.",100439271;100467869,,No new-construction density should be created from this renovation.,1708329018000012013;1708329018000012014;1708329018000012015;1708329018000012016;1708329018000012017;1708329018000012018;1708329018000012019;1708329018000012020;1708329018000012021;1708329018000012022;1708329018000012023;1708329018000012024;1708329018000012025;1708329018000012026,"17083290180000 card1 class212 built2011: 2 homes / 7824 floor / 6588 land, assessment 2013,2014,2015,2016,2017,2018; 17083290180000 card1 class212 built2011: 3 homes / 7824 floor / 6588 land, assessment 2019,2020; 17083290180000 card1 class212 built2012: 3 homes / 7824 floor / 6588 land, assessment 2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,"100439271 | COMPLETE | 2012-08-01T00:00:00.000 | 114 N ELIZABETH ST | INTERIOR RENOVATIONS TO EXISTING 2 STORY TYPE III-B MASONRY BUILDING INCLUDING COMMERCIAL SPACE AT GROUND FLOOR AND 4 RESIDENTIAL UNITS AT SECOND FLOOR AS PER PLANS
100467869 | COMPLETE | 2013-02-04T00:00:00.000 | 114 N ELIZABETH ST | AMENDED PERMIT TO BUILDING PERMIT # 100439271. INTERIOR RENOVATIONS TO EXISTING 2 STORY TYPE III-B BUILDING INCLUDING COMMERCIAL SPACE AT GROUND FLOOR AND 4 RESIDNTIAL UNITS AT SECOND FLOOR AS PER PLANS.",2012,7824,,FALSE,,,,Exclude: not new construction
71,residential_17084260420000,813 W FULTON MARKET ST,FALSE,3,2607,1,2607,Correct count,"Original permit constructs one commercial and one residential unit; the following elevator permit explicitly serves a single residence. Use one home, not Assessor two or three, and retain the recorded individual lot.",100143334;100192772,,,1708426042000012015;1708426042000012016;1708426042000012017;1708426042000012018;1708426042000012019;1708426042000012020;1708426042000012021;1708426042000012022;1708426042000012023;1708426042000012024;1708426042000012025;1708426042000012026,"17084260420000 card1 class212 built2006: 2 homes / 4370 floor / 2607 land, assessment 2015,2016,2017,2018; 17084260420000 card1 class212 built2006: 3 homes / 4370 floor / 2607 land, assessment 2019,2020,2021,2022,2023,2024; 17084260420000 card1 class212 built2006: 3 homes / 4572 floor / 2607 land, assessment 2025,2026",2026-09-15,TRUE,"100143334 | COMPLETE | 2006-12-22T00:00:00.000 | 813 W FULTON MARKET | ERECT A NEW ONE COMERCIAL AND ONE RESIDENTIAL BUILDING WITH AN ATTACHED TWO CAR GARAGE AS PER PLANS.
100192772 |  | 2007-08-03T00:00:00.000 | 813 W FULTON MARKET | FURNISH AND INSTALL ONE PRIVATE RESIDENCE ELEVATOR AS PER PLANS (SINGLE FAMILY USE ONLY)",2006,4370,,FALSE,,,Adoption location check: Use completed original building permit 100143334 at 813 W Fulton Market for location. The following single-residence elevator permit has the same point. Correcting the residential count to one should not require the erroneous Assessor count to match a later assessment.,Keep
72,residential_17164070170000,747 S DEARBORN ST,FALSE,3,3566,1,3566,Correct count,Original new-building permit describes one residence on floors two through four above ground-floor commercial space. Neither Assessor three nor later two is the residential count. Keep one and the individual lot.,100691145;101029853,,,1716407017000012019;1716407017000012020;1716407017000012021;1716407017000012022;1716407017000012023;1716407017000012024;1716407017000012025;1716407017000012026,"17164070170000 card1 class212 built2018: NA homes / NA floor / 3566 land, assessment 2019; 17164070170000 card1 class212 built2018: 3 homes / 9627 floor / 3566 land, assessment 2020; 17164070170000 card1 class212 built2018: 3 homes / 9377 floor / 3566 land, assessment 2021,2022,2023; 17164070170000 card1 class212 built2018: 2 homes / 9377 floor / 3566 land, assessment 2024,2025,2026",2026-09-15,TRUE,"100691145 | COMPLETE | 2017-07-18T00:00:00.000 | 751 S DEARBORN ST | NEW CONSTRUCTION OF 4-STORY BUILDING WITH GROUND FLOOR COMMERCIAL SPACE AND SINGLE FAMILY RESIDENCE ON FLOORS 2-4. NO BASEMENT.     **CERTIFIED PLAN CORRECTIONS PROJECT - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS **
101029853 | EXPIRED | 2023-10-24T00:00:00.000 | 747 S DEARBORN ST | SPR 2019 CBRC: INSTALL NEW PREFABRICATED SKYLIGHT IN EXISTING 4TH FLOOR ROOF IN EXISTING DWELLING UNIT WITHIN 4-STORY MIXED USE BUILDING. ASSOCIATED ROOF DRAIN, MECHANICAL AND ELECTRICAL LAYOUT ALTERATIONS TO ACCOMODATE LOCATION OF NEW SKYLIGHT. (OCCUPANCY GROUPS R-2, B; TYPE IIA CONSTRUCTION). **CERTIFIED PLANS CORRECTIONS: CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS **",2018,9377,,FALSE,,,,Keep
73,residential_17204140110000,920 W 18TH PL,FALSE,2,2050,2,2050,Retain,Original permit specifies a two-unit apartment building over an existing foundation. This supports two and the recorded individual lot; reusing a foundation is distinct from merely renovating an existing building.,100196714,,,1720414011000011999;1720414011000012000;1720414011000012001;1720414011000012002;1720414011000012003;1720414011000012008;1720414011000012009;1720414011000012010;1720414011000012011;1720414011000012012;1720414011000012013;1720414011000012014;1720414011000012015;1720414011000012016;1720414011000012017;1720414011000012018;1720414011000012019;1720414011000012020;1720414011000012021;1720414011000012022;1720414011000012023;1720414011000012024;1720414011000012025;1720414011000012026,"17204140110000 card1 class202 built1883: 1 homes / 544 floor / NA land, assessment 1999,2000,2001,2002,2003; 17204140110000 card1 class211 built2007: 3 homes / 2674 floor / 2050 land, assessment 2008; 17204140110000 card1 class211 built2007: 2 homes / 2674 floor / 2050 land, assessment 2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,100196714 | COMPLETE | 2007-09-12T00:00:00.000 | 920 W 18TH PL | ERECT A 2 SORY 3B MASONRY 2 UNIT APARMENT BUILDING OVER EXISTING FOUNDATION PER PLANS.,2007,2674,,FALSE,,,,Keep
74,residential_17293110280000,2904 S ARCHER AVE,FALSE,6,3984,5,3984,Correct count and year,"Original new-building permit specifies five dwellings plus commercial space. A later same-area Assessor record reports five. Use five, not six, and the individual recorded lot.",100758397;100882993,https://www.homes.com/property/2910-s-archer-ave-chicago-il-unit-2a/hkq3r3bt04zq7/,"Recommend five and 2021, retaining 13340 square feet of building and 3984 square feet of land for PIN 17293110280000. Do not import 2904 work on adjacent PIN 17293110270000.",1729311028000012020;1729311028000012021;1729311028000012022;1729311028000012023;1729311028000012024;1729311028000012025;1729311028000012026,"17293110280000 card1 class212 built2019: 6 homes / 13340 floor / 3984 land, assessment 2020,2021,2022,2023; 17293110280000 card1 class212 built1881: 5 homes / 13340 floor / 3984 land, assessment 2024,2025,2026",2026-09-15,TRUE,"100758397 | EXPIRED | 2019-11-21T00:00:00.000 | 2910 S ARCHER AVE | ERECT 4 STORY 5 DWELLING UNIT IIIB MASONRY APARMENT  BUILDING WITH GROUD FLOOR COMMERCIAL AND 4 CAR  ATTACHED GARAGES
100882993 |  | 2020-07-20T00:00:00.000 | 2910 S ARCHER AVE | REVISION TO PERMIT NO 100758397 TO CHANGE HVAC CONTRACTOR TO VIP HEATING & COOLING",2019,13340,Construction year,TRUE,2021,13340,"The exact-PIN new-building permit uses 2910 S Archer rather than the selected 2904 address. A June 2021 apartment listing at 2910 describes newly completed units ready for occupancy, followed by an August 2021 rental. This follows late-2020 elevator installation and supports 2021. The permit and later Assessor agree on five apartments plus commercial space. Adoption location check: Use the preserved 2025 exact-PIN point for 17293110280000, whose County property address still says 2904 but whose taxpayer mailing address is 2910 S Archer; the exact-PIN new-building permit supplies 2910. The original permit and 2021 occupied-building evidence identify the same replacement; this does not use adjacent 2904 parcel 17293110270000. The point is a parcel-location proxy, not a new area measurement.",Keep
75,residential_17331210240000,3361 S LOWE AVE HSE,FALSE,3,3520,3,3520,Retain,"All assessments after the initial four say three, and the City's later garage permits explicitly identify three existing dwellings. Keep three and the individual reported lot.",101060500;101073759,,Later permits corroborate three but do not by themselves date original completion.,1733121024000011999;1733121024000012000;1733121024000012001;1733121024000012002;1733121024000012003;1733121024000012004;1733121024000012005;1733121024000012006;1733121024000012007;1733121024000012008;1733121024000012009;1733121024000012010;1733121024000012011;1733121024000012012;1733121024000012013;1733121024000012014;1733121024000012015;1733121024000012016;1733121024000012017;1733121024000012018;1733121024000012019;1733121024000012020;1733121024000012021;1733121024000012022;1733121024000012023;1733121024000012024;1733121024000012025;1733121024000012026,"17331210240000 card1 class202 built1892: 1 homes / 828 floor / NA land, assessment 1999,2000,2001,2002,2003,2004,2005; 17331210240000 card1 class202 built1892: 1 homes / 828 floor / 3520 land, assessment 2006; 17331210240000 card1 class211 built2006: 4 homes / 5160 floor / 3520 land, assessment 2007; 17331210240000 card1 class211 built2006: 3 homes / 5160 floor / 3520 land, assessment 2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,"101060500 | ACTIVE | 2025-03-17T00:00:00.000 | 3361 S LOWE AVE | SPR 2019 CBRC: NEW 3 CAR DETATCHED GARAGE TO SERVE EXISTING 3 DWELLING UNITS (OCCUPANCY GROUP; R-5, TYPE IIIA CONSTRUCTION)
101073759 | ACTIVE | 2025-10-09T00:00:00.000 | 3361 S LOWE AVE | SELF CERT: REVISION OF PERMIT 101060500 FOR A NEW 3 CAR DETACHED GARAGE TO SERVE EXISTING 3 DWELLING UNITS (OCCCUPANCY R-5; CONSTRUCTION III-A)",2006,5160,,FALSE,,,,Keep
76,residential_19102040040000,4151 W 47TH ST,TRUE,1,2500,1,2500,Retain,Original permit explicitly specifies a restaurant downstairs and one dwelling upstairs. Reuse the current recorded one-home correction and individual lot.,100094913,,Existing correction already applied.,1910204004000012009;1910204004000012010;1910204004000012011;1910204004000012012;1910204004000012013;1910204004000012014;1910204004000012015;1910204004000012016;1910204004000012017;1910204004000012018;1910204004000012019;1910204004000012020;1910204004000012021;1910204004000012022;1910204004000012023;1910204004000012024;1910204004000012025;1910204004000012026,"19102040040000 card1 class212 built2008: 3 homes / 2584 floor / 2500 land, assessment 2009; 19102040040000 card1 class212 built2008: 2 homes / 2584 floor / 2500 land, assessment 2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",2026-09-15,TRUE,100094913 | COMPLETE | 2007-02-26T00:00:00.000 | 4151 W 47TH ST | ERECT NEW 2 STORY MIXED USE WITH RESTAURANT IN THE FIRST FLOOR AND ONE DU IN THE SECOND FLOOR.,2008,2584,,FALSE,,,,Keep
77,residential_20032180540000,660 E 42ND ST (retired parcel),FALSE,2,2968,,,Retire duplicate,"The retired PIN 20032180540000 and successor 20032180670000 both identify 660 E 42nd. The successor first appears in 2009 immediately after the old record ends in 2008. Its recorded 2009 parcel point lies inside the old 2006 polygon, 6.15 feet from its centroid. Together these support retiring this obsolete observation, not counting a second building.",,,"The successor remains unresolved in case 78: original count and construction year are not established. Sources: preserved historical address rows for PIN 20032180540000; predecessor_parcel_history.csv row 200321806700002009; historical_project_parcel_source.gpkg, 2006 parcel 20032180540000, object 568566. Geometry was used to check identity, not calculate land.",2003218054000012007;2003218054000012008,"20032180540000 card1 class211 built2006: 3 homes / 2150 floor / 2968 land, assessment 2007; 20032180540000 card1 class211 built2006: 2 homes / 2150 floor / 2968 land, assessment 2008",2026-09-15,TRUE,,2006,2150,,FALSE,,,,Retire duplicate
78,residential_20032180670000,660 E 42ND ST,FALSE,2,4427,,4427,Hold identity,"The later parcel point lies inside the retired 660 E 42nd parcel, and the assessment histories are consecutive. Treat cases 77 and 78 as one property. The later land is source-reported 4427 square feet; original two versus three dwellings and construction years 2005/2006/2007 remain contradictory.",,https://www.redfin.com/IL/Chicago/660-E-42nd-St-60653/home/39558457;https://www.zillow.com/homedetails/660-E-42nd-St-Chicago-IL-60653/441094777_zpid/,"Recommend withholding the successor from density and retiring only the duplicate old record. No guessed count, year or lot allocation is proposed.",2003218067000012009;2003218067000012010;2003218067000012011;2003218067000012012;2003218067000012013;2003218067000012014;2003218067000012015;2003218067000012016;2003218067000012017;2003218067000012018;2003218067000012019;2003218067000012020;2003218067000012021;2003218067000012022;2003218067000012023;2003218067000012024;2003218067000012025;2003218067000012026,"20032180670000 card1 class211 built2005: 3 homes / 2308 floor / 4427 land, assessment 2009,2010,2011,2012,2013,2014,2015,2016; 20032180670000 card1 class211 built2005: 2 homes / 2308 floor / 4427 land, assessment 2017,2018,2019,2020,2021; 20032180670000 card1 class211 built2007: 2 homes / 2308 floor / 4427 land, assessment 2022,2023,2024,2025,2026",2026-09-15,TRUE,,2007,2308,Construction year,TRUE,,2308,"Additional listings repeat two apartments, year 2007 and the successor lot, without original completion evidence. They do not reconcile the old/new parcel histories showing 2005/2006/2007 and two/three apartments. The demonstrated parcel succession still supports retiring the old duplicate (case 77), but does not certify the successor count, construction year or original lot coverage.",Withhold density
